Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
TAMAN AROWANA [LENGGENG],Lenggeng,Negeri Sembilan,Leasehold,Terrace House,476240.0,310.0,152,3112.6797385620916,1,Medium,0,0,13.07367930760669,5.739792912179234,Medium,Tier 2: Medium-Cost State,2,1536.258064516129,Leasehold_Terrace House,0,High_Volume
TAMAN PERLING,Perling,Johor,Freehold,Terrace House,527500.0,286.0,152,3447.7124183006536,1,Medium,1,0,13.17590604006516,5.659482215759621,Medium,Tier 1: High-Cost State,2,1844.4055944055945,Freehold_Terrace House,0,High_Volume
LAYANGGKASA,Pasir Gudang,Johor,Freehold,Terrace House,551650.0,384.0,149,3677.6666666666665,1,High,1,0,13.220670878930397,5.953243334287785,High,Tier 1: High-Cost State,2,1436.5885416666667,Freehold_Terrace House,0,High_Volume
INDAHPURA,Kulai,Johor,Freehold,Terrace House,680000.0,377.0,145,4657.534246575343,1,High,1,0,13.429849547739444,5.934894195619588,High,Tier 1: High-Cost State,2,1803.7135278514588,Freehold_Terrace House,0,High_Volume
TAMAN BUNGA RAYA,Serendah,Selangor,Leasehold,Terrace House,200000.0,186.0,144,1379.3103448275863,1,Low,0,0,12.206077645517674,5.231108616854587,High,Tier 1: High-Cost State,4,1075.268817204301,Leasehold_Terrace House,0,High_Volume
TAMAN SEPADU JAYA (D'HALONA PLACE),Penaga,Penang,Freehold,Terrace House,307000.0,277.0,141,2161.9718309859154,1,Medium,1,0,12.634606283893019,5.627621113690637,Medium,Tier 2: Medium-Cost State,2,1108.3032490974729,Freehold_Terrace House,0,High_Volume
TAMAN SENTOSA,Klang,Selangor,Freehold,Terrace House,450000.0,357.0,141,3169.0140845070423,1,Medium,1,0,13.017005083966255,5.8805329864007,High,Tier 1: High-Cost State,3,1260.5042016806722,Freehold_Terrace House,0,High_Volume
TAMAN ANJUNG SUNGAI PETAI,Sungei Petai,Melaka,Freehold,"Terrace House, Semi D",298800.0,194.0,140,2119.148936170213,1,Low,1,0,12.607533078955413,5.272999558563747,Low,Tier 3: Low-Cost State,2,1540.2061855670104,"Freehold_Terrace House, Semi D",0,High_Volume
SEKSYEN 30 SHAH ALAM,Shah Alam,Selangor,Freehold,"Semi D, Terrace House",495000.0,308.0,140,3510.6382978723404,1,Medium,1,0,13.112315061750808,5.733341276897746,High,Tier 1: High-Cost State,2,1607.142857142857,"Freehold_Semi D, Terrace House",0,High_Volume
TAMAN PUTERI WANGSA,Ulu Tiram,Johor,Freehold,Terrace House,450000.0,294.0,138,3237.410071942446,1,Medium,1,0,13.017005083966255,5.68697535633982,High,Tier 1: High-Cost State,2,1530.6122448979593,Freehold_Terrace House,0,High_Volume
TAMAN SERAI RESIDENSI,Padang Serai,Kedah,Freehold,"Terrace House, Semi D",199800.0,143.0,136,1458.3941605839416,1,Low,1,0,12.20507715018907,4.969813299576001,Medium,Tier 3: Low-Cost State,2,1397.2027972027972,"Freehold_Terrace House, Semi D",0,High_Volume
TANJUNG PUTERI RESORT,Pasir Gudang,Johor,Freehold,"Bungalow, Terrace House",397800.0,258.0,135,2925.0,1,Medium,1,0,12.893707159224892,5.556828061699537,High,Tier 1: High-Cost State,2,1541.860465116279,"Freehold_Bungalow, Terrace House",0,High_Volume
BANDAR BARU SETIA AWAN PERDANA,Sitiawan,Perak,Freehold,"Cluster House, Terrace House",245000.0,139.0,128,1899.2248062015503,1,Low,1,0,12.409017571151187,4.941642422609304,High,Tier 3: Low-Cost State,2,1762.589928057554,"Freehold_Cluster House, Terrace House",0,High_Volume
TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,Kluang,Johor,Freehold,Terrace House,419444.0,200.0,124,3355.552,1,Low,1,0,12.946687687831476,5.303304908059076,High,Tier 1: High-Cost State,2,2097.22,Freehold_Terrace House,0,High_Volume
BANDAR SERI COALFIELDS,Ijok,Selangor,Freehold,"Terrace House, Cluster House",913800.0,432.0,123,7369.354838709677,1,High,1,0,13.725368102442072,6.07073772800249,Medium,Tier 1: High-Cost State,2,2115.277777777778,"Freehold_Terrace House, Cluster House",0,High_Volume
TAMAN TASIK UTAMA,Bukit Katil,Melaka,Leasehold,Terrace House,270000.0,175.0,123,2177.4193548387098,1,Low,0,0,12.506180941677357,5.170483995038151,Medium,Tier 3: Low-Cost State,2,1542.857142857143,Leasehold_Terrace House,0,High_Volume
PULAU INDAH,Klang,Selangor,Freehold,Terrace House,350000.0,252.0,122,2845.528455284553,1,Medium,1,0,12.765691290604371,5.53338948872752,High,Tier 1: High-Cost State,2,1388.888888888889,Freehold_Terrace House,0,High_Volume
TAMAN UNGKU TUN AMINAH,Skudai,Johor,Freehold,Terrace House,530000.0,322.0,122,4308.943089430894,1,Medium,1,0,13.180634172318978,5.777652323222656,High,Tier 1: High-Cost State,2,1645.9627329192547,Freehold_Terrace House,0,High_Volume
ELMINA WEST,Shah Alam,Selangor,Freehold,Terrace House,1060888.0,550.0,120,8767.669421487602,1,High,1,0,13.874617793838608,6.311734809152915,High,Tier 1: High-Cost State,2,1928.8872727272728,Freehold_Terrace House,0,High_Volume
TAMAN SETIA INDAH,Tebrau,Johor,Freehold,Terrace House,610000.0,382.0,118,5126.050420168067,1,High,1,0,13.321215875492413,5.948034989180646,High,Tier 1: High-Cost State,2,1596.8586387434555,Freehold_Terrace House,0,High_Volume
SEKSYEN 29 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,472800.0,309.0,118,3973.109243697479,1,Medium,0,0,13.066429860131011,5.736572297479192,High,Tier 1: High-Cost State,2,1530.0970873786407,Leasehold_Terrace House,0,High_Volume
TAMAN BANANG JAYA,Batu Pahat,Johor,Freehold,Terrace House,618500.0,388.0,118,5197.4789915966385,1,High,1,0,13.335054087628247,5.963579343618446,High,Tier 1: High-Cost State,2,1594.0721649484535,Freehold_Terrace House,0,High_Volume
TAMAN SAUJANA,Kluang,Johor,Freehold,Terrace House,150000.0,107.0,117,1271.1864406779662,1,Low,1,0,11.918397239722838,4.68213122712422,High,Tier 1: High-Cost State,2,1401.8691588785048,Freehold_Terrace House,0,High_Volume
Flat Taman Ungku Tun Aminah,Skudai,Johor,Freehold,Flat,140000.0,283.0,117,1186.4406779661017,1,Medium,1,0,11.849404844423074,5.648974238161206,High,Tier 1: High-Cost State,2,494.69964664310953,Freehold_Flat,0,High_Volume
MERIDIN EAST,Pasir Gudang,Johor,Freehold,Terrace House,580000.0,414.0,115,5000.0,1,High,1,0,13.270785106659046,6.028278520230698,High,Tier 1: High-Cost State,2,1400.9661835748793,Freehold_Terrace House,0,High_Volume
TAMAN SKUDAI BARU,Skudai,Johor,Freehold,Terrace House,435000.0,325.0,114,3782.608695652174,1,Medium,1,0,12.983103608918753,5.786897381366708,High,Tier 1: High-Cost State,2,1338.4615384615386,Freehold_Terrace House,0,High_Volume
TAMAN MUTIARA BESTARI,Skudai,Johor,Freehold,"Cluster House, Semi D",1114310.0,483.0,114,9689.652173913044,1,High,1,0,13.923746834654732,6.182084906716632,High,Tier 1: High-Cost State,2,2307.0600414078676,"Freehold_Cluster House, Semi D",0,High_Volume
BUKIT BERUNTUNG,Serendah,Selangor,Freehold,Terrace House,300000.0,222.0,113,2631.5789473684213,1,Low,1,0,12.611541086966115,5.407171771460119,High,Tier 1: High-Cost State,2,1351.3513513513512,Freehold_Terrace House,0,High_Volume
TAMAN RINTING,Masai,Johor,Freehold,Terrace House,430000.0,279.0,111,3839.285714285714,1,Medium,1,0,12.971542813248437,5.634789603169249,Medium,Tier 1: High-Cost State,2,1541.2186379928316,Freehold_Terrace House,0,High_Volume
SETIA TROPIKA,Tampoi,Johor,Freehold,"Cluster House, Terrace House",911890.0,435.0,110,8215.225225225226,1,High,1,0,13.723275744369818,6.077642243349034,Medium,Tier 1: High-Cost State,2,2096.2988505747126,"Freehold_Cluster House, Terrace House",0,High_Volume
CALEDONIA,Ijok,Selangor,Freehold,Terrace House,509800.0,392.0,109,4634.545454545455,1,High,1,0,13.141775732475779,5.973809611869261,Medium,Tier 1: High-Cost State,2,1300.5102040816328,Freehold_Terrace House,0,High_Volume
ALAM NUSANTARA,Setia Alam,Selangor,Freehold,Terrace House,872999.0,496.0,109,7936.354545454546,1,High,1,0,13.67969083482174,6.208590026096629,Medium,Tier 1: High-Cost State,2,1760.078629032258,Freehold_Terrace House,0,High_Volume
