Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
Kipark Apartment,Tampoi,Johor,Leasehold,Apartment,380000.0,443.0,35,10555.555555555555,1,High,0,0,12.847929163278053,6.095824562432225,Medium,Tier 1: High-Cost State,2,857.7878103837472,Leasehold_Apartment,0,Medium_Volume
Cyber City Apartment 1,Penampang,Sabah,Freehold,Apartment,240000.0,480.0,35,6666.666666666667,1,High,1,0,12.388398368982115,6.175867270105761,Low,Tier 3: Low-Cost State,2,500.0,Freehold_Apartment,0,Medium_Volume
D'aman Crimson,Ara Damansara,Selangor,Freehold,Condominium,443000.0,420.0,35,12305.555555555555,1,High,1,0,13.001327306361068,6.042632833682381,Low,Tier 1: High-Cost State,2,1054.7619047619048,Freehold_Condominium,0,Medium_Volume
TAMAN NUSAPUTRA TIMUR (REFLEXION),Dengkil,Selangor,Leasehold,Terrace House,1450000.0,944.0,34,41428.57142857143,1,High,0,0,14.187074804051692,6.851184927493743,Medium,Tier 1: High-Cost State,2,1536.0169491525423,Leasehold_Terrace House,0,Medium_Volume
TAMAN TIANG DUA BESTARI,Ayer Molek,Melaka,Freehold,"Cluster House, Terrace House",269100.0,175.0,34,7688.571428571428,1,Low,1,0,12.502842052798766,5.170483995038151,Low,Tier 3: Low-Cost State,2,1537.7142857142858,"Freehold_Cluster House, Terrace House",0,Medium_Volume
TAMAN BUKIT SEMPANG,Merlimau,Melaka,Freehold,Terrace House,311650.0,186.0,34,8904.285714285714,1,Low,1,0,12.649639250959588,5.231108616854587,Low,Tier 3: Low-Cost State,2,1675.5376344086021,Freehold_Terrace House,0,Medium_Volume
BANDAR PERDANA (TERES),Sungai Petani,Kedah,Freehold,Terrace House,271000.0,175.0,34,7742.857142857143,1,Low,1,0,12.509877789891931,5.170483995038151,High,Tier 3: Low-Cost State,2,1548.5714285714287,Freehold_Terrace House,0,Medium_Volume
TAMAN SRI KLUANG,Kluang,Johor,Freehold,Terrace House,307500.0,210.0,34,8785.714285714286,1,Low,1,0,12.636233618255941,5.351858133476067,High,Tier 1: High-Cost State,2,1464.2857142857142,Freehold_Terrace House,0,Medium_Volume
BANDAR UTAMA,Sungai Petani,Kedah,Freehold,"Terrace House, Bungalow",262500.0,164.0,34,7500.0,1,Low,1,0,12.47801017053037,5.10594547390058,High,Tier 3: Low-Cost State,3,1600.6097560975609,"Freehold_Terrace House, Bungalow",0,Medium_Volume
ALAM DAMAI,Cheras,Kuala Lumpur,Leasehold,Terrace House,859000.0,458.0,34,24542.85714285714,1,High,0,0,13.663525365110068,6.129050210060545,High,Tier 1: High-Cost State,2,1875.5458515283842,Leasehold_Terrace House,1,Medium_Volume
TAMAN MIDAH,Cheras,Kuala Lumpur,Freehold,Terrace House,815000.0,490.0,34,23285.714285714286,1,High,1,0,13.610944619216111,6.19644412779452,High,Tier 1: High-Cost State,2,1663.265306122449,Freehold_Terrace House,1,Medium_Volume
TAMAN DATO HORMAT,Telok Panglima Garang,Selangor,Freehold,Terrace House,435000.0,293.0,34,12428.57142857143,1,Medium,1,0,12.983103608918753,5.683579767338681,Medium,Tier 1: High-Cost State,2,1484.641638225256,Freehold_Terrace House,0,Medium_Volume
BANDAR CYBER IPOH,Ipoh,Perak,Leasehold,Semi D,609000.0,252.0,34,17400.0,1,Medium,0,0,13.31957518872681,5.53338948872752,High,Tier 3: Low-Cost State,2,2416.6666666666665,Leasehold_Semi D,0,Medium_Volume
TAMAN DESA HARMONI,Masai,Johor,Freehold,Terrace House,450000.0,306.0,34,12857.142857142857,1,Medium,1,0,13.017005083966255,5.726847747587197,Medium,Tier 1: High-Cost State,2,1470.5882352941176,Freehold_Terrace House,0,Medium_Volume
TAMAN SRI SINAR,Segambut,Kuala Lumpur,Freehold,Terrace House,495000.0,663.0,34,14142.857142857143,1,High,1,0,13.112315061750808,6.498282149476434,Low,Tier 1: High-Cost State,2,746.606334841629,Freehold_Terrace House,1,Medium_Volume
TAMAN NUSA BESTARI,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,810000.0,407.0,34,23142.85714285714,1,High,1,0,13.60479076121576,6.0112671744041615,High,Tier 1: High-Cost State,2,1990.1719901719903,Freehold_Terrace House,0,Medium_Volume
BANDAR SRI INDAH,Tawau,Sabah,Leasehold,Terrace House,385000.0,169.0,34,11000.0,1,Low,0,0,12.861001210669146,5.135798437050262,Low,Tier 3: Low-Cost State,2,2278.1065088757396,Leasehold_Terrace House,0,Medium_Volume
Villa Wangsamas,Wangsa Maju,Kuala Lumpur,Freehold,Condominium,500000.0,386.0,34,14285.714285714286,1,High,1,0,13.122365377402328,5.958424693029782,Medium,Tier 1: High-Cost State,2,1295.3367875647668,Freehold_Condominium,1,Medium_Volume
Taman Terubong Jaya,Ayer Itam,Penang,Leasehold,Flat,165000.0,272.0,34,4714.285714285715,1,Medium,0,0,12.013706813470414,5.60947179518496,Medium,Tier 2: Medium-Cost State,2,606.6176470588235,Leasehold_Flat,0,Medium_Volume
Lake View Suites,Tebrau,Johor,Freehold,Apartment,293000.0,359.0,34,8371.42857142857,1,Medium,1,0,12.587931300962664,5.886104031450156,High,Tier 1: High-Cost State,2,816.1559888579387,Freehold_Apartment,0,Medium_Volume
9Ine (Residensi Sembilan),Cheras,Selangor,Freehold,Condominium,970000.0,801.0,34,27714.285714285714,1,High,1,0,13.785052381406869,6.687108607866515,High,Tier 1: High-Cost State,2,1210.9862671660424,Freehold_Condominium,0,Medium_Volume
Villa Krystal Apartment,Skudai,Johor,Freehold,Apartment,300000.0,336.0,34,8571.42857142857,1,Medium,1,0,12.611541086966115,5.820082930352362,High,Tier 1: High-Cost State,2,892.8571428571429,Freehold_Apartment,0,Medium_Volume
SIERRA PERDANA,Masai,Johor,Freehold,"Terrace House, Cluster House",495000.0,361.0,33,14558.823529411764,1,Medium,1,0,13.112315061750808,5.8916442118257715,Medium,Tier 1: High-Cost State,2,1371.191135734072,"Freehold_Terrace House, Cluster House",0,Medium_Volume
TAMAN BUKIT MALURI,Kepong,Kuala Lumpur,Leasehold,Terrace House,890000.0,456.0,33,26176.470588235294,1,High,0,0,13.698977865303197,6.124683390894205,Medium,Tier 1: High-Cost State,2,1951.7543859649122,Leasehold_Terrace House,1,Medium_Volume
TAMAN WARISAN PUTERI,Ampangan,Negeri Sembilan,Freehold,"Semi D, Terrace House, Cluster House",433680.0,279.0,33,12755.29411764706,1,Medium,1,0,12.98006451977919,5.634789603169249,Low,Tier 2: Medium-Cost State,2,1554.4086021505377,"Freehold_Semi D, Terrace House, Cluster House",0,Medium_Volume
SETIA ECO GARDEN,Skudai,Johor,Freehold,Terrace House,650000.0,429.0,33,19117.647058823528,1,High,1,0,13.384729180332174,6.063785208687608,High,Tier 1: High-Cost State,2,1515.1515151515152,Freehold_Terrace House,0,Medium_Volume
The Seed,Skudai,Johor,Freehold,Apartment,650000.0,516.0,33,19117.647058823528,1,High,1,0,13.384729180332174,6.248042874508429,High,Tier 1: High-Cost State,2,1259.6899224806202,Freehold_Apartment,0,Medium_Volume
The Garden Residences,Skudai,Johor,"Leasehold, Freehold",Service Residence,365000.0,437.0,33,10735.29411764706,1,High,1,0,12.807655372286902,6.082218910376446,High,Tier 1: High-Cost State,2,835.2402745995423,"Leasehold, Freehold_Service Residence",0,Medium_Volume
Taman Cempaka,Tampoi,Johor,Leasehold,Flat,136000.0,246.0,33,4000.0,1,Medium,0,0,11.820417517632333,5.5093883366279774,Medium,Tier 1: High-Cost State,2,552.8455284552846,Leasehold_Flat,0,Medium_Volume
TAMAN RAMBAI IDAMAN,Bukit Rambai,Melaka,"Freehold, Leasehold",Terrace House,295000.0,164.0,32,8939.39393939394,1,Low,1,0,12.59473402514672,5.10594547390058,Low,Tier 3: Low-Cost State,2,1798.780487804878,"Freehold, Leasehold_Terrace House",0,Medium_Volume
SS19,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",505000.0,541.0,32,15303.030303030304,1,High,1,0,13.132315688453556,6.295266001439646,High,Tier 1: High-Cost State,2,933.456561922366,"Freehold_Terrace House, Semi D",0,Medium_Volume
SS3 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Terrace House, Bungalow",1565000.0,423.0,32,47424.242424242424,1,High,1,0,14.263397020933823,6.049733455231958,Medium,Tier 1: High-Cost State,2,3699.7635933806146,"Freehold_Terrace House, Bungalow",0,Medium_Volume
BK 5 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,885000.0,540.0,32,26818.18181818182,1,High,1,0,13.69334405393293,6.293419278846481,Medium,Tier 1: High-Cost State,2,1638.888888888889,Freehold_Terrace House,0,Medium_Volume
TAMAN ANJUNG GAPAM,Bemban,Melaka,Leasehold,Bungalow,632000.0,136.0,32,19151.515151515152,1,Low,0,0,13.356646255406224,4.919980925828125,High,Tier 3: Low-Cost State,2,4647.058823529412,Leasehold_Bungalow,0,Medium_Volume
USJ 6,Subang Jaya,Selangor,Freehold,Terrace House,694000.0,536.0,32,21030.303030303032,1,High,1,0,13.450228680410094,6.285998094508865,High,Tier 1: High-Cost State,2,1294.7761194029852,Freehold_Terrace House,0,Medium_Volume
DESA RENING,Rasa,Selangor,Leasehold,"Terrace House, Semi D",439928.0,125.0,32,13331.151515151516,1,Low,0,0,12.994368629237568,4.836281906951478,Low,Tier 1: High-Cost State,2,3519.424,"Leasehold_Terrace House, Semi D",0,Medium_Volume
SEKSYEN 7 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,740000.0,390.0,32,22424.242424242424,1,High,0,0,13.51440681653079,5.968707559985366,High,Tier 1: High-Cost State,2,1897.4358974358975,Leasehold_Terrace House,0,Medium_Volume
TAMAN SELASIH FASA 1,Kulim,Kedah,Freehold,Terrace House,275000.0,189.0,32,8333.333333333334,1,Low,1,0,12.524530013005734,5.247024072160486,Medium,Tier 3: Low-Cost State,2,1455.026455026455,Freehold_Terrace House,0,Medium_Volume
EAST LEDANG,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",1344000.0,340.0,32,40727.27272727273,1,Medium,1,0,14.111161544112575,5.831882477283517,High,Tier 1: High-Cost State,2,3952.9411764705883,"Freehold_Semi D, Terrace House",0,Medium_Volume
TAMAN DURANDA EMAS,Kuching,Sarawak,Leasehold,Terrace House,180000.0,174.0,32,5454.545454545455,1,Low,0,0,12.100717685412471,5.1647859739235145,Medium,Tier 2: Medium-Cost State,2,1034.4827586206898,Leasehold_Terrace House,0,Medium_Volume
PUSAT BANDAR PUCHONG,Puchong,Selangor,Freehold,Terrace House,762500.0,531.0,32,23106.060606060608,1,High,1,0,13.544359098938253,6.2766434893416445,High,Tier 1: High-Cost State,2,1435.969868173258,Freehold_Terrace House,0,Medium_Volume
TAMAN SRI LAMBAK,Simpang Rengam,Johor,Leasehold,Bungalow,335000.0,95.0,32,10151.515151515152,1,Low,0,0,12.721888795877375,4.564348191467836,Low,Tier 1: High-Cost State,2,3526.315789473684,Leasehold_Bungalow,0,Medium_Volume
TAMAN SERI DUYONG,Duyong,Melaka,Leasehold,Terrace House,268000.0,157.0,32,8121.212121212121,1,Low,0,0,12.498745990829315,5.062595033026967,Low,Tier 3: Low-Cost State,2,1707.0063694267517,Leasehold_Terrace House,0,Medium_Volume
TAMAN LAGENDA PUTRA,Kulai,Johor,Freehold,"Terrace House, Semi D",589000.0,328.0,32,17848.484848484848,1,Medium,1,0,13.286183160425152,5.796057750765372,High,Tier 1: High-Cost State,2,1795.7317073170732,"Freehold_Terrace House, Semi D",0,Medium_Volume
TAMAN ECO FLORA,Tebrau,Johor,Freehold,Terrace House,880000.0,523.0,32,26666.666666666668,1,High,1,0,13.68767832281738,6.261491684321042,High,Tier 1: High-Cost State,2,1682.6003824091779,Freehold_Terrace House,0,Medium_Volume
BISTARI PERDANA,Pasir Gudang,Johor,Freehold,Terrace House,460000.0,384.0,32,13939.39393939394,1,High,1,0,13.038983942375959,5.953243334287785,High,Tier 1: High-Cost State,2,1197.9166666666667,Freehold_Terrace House,0,Medium_Volume
Seni Mont Kiara,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2380000.0,801.0,32,72121.21212121213,1,High,1,0,14.682611465815636,6.687108607866515,Medium,Tier 1: High-Cost State,2,2971.2858926342074,Freehold_Condominium,1,Medium_Volume
1 Bukit Utama,Bandar Utama,Selangor,Freehold,Condominium,1269000.0,566.0,32,38454.545454545456,1,High,1,0,14.053740534718278,6.340359303727752,Medium,Tier 1: High-Cost State,2,2242.0494699646642,Freehold_Condominium,0,Medium_Volume
Pangsapuri Sri Kemuning,Shah Alam,Selangor,Freehold,Apartment,220000.0,292.0,32,6666.666666666667,1,Medium,1,0,12.301387370778713,5.680172609017068,High,Tier 1: High-Cost State,2,753.4246575342465,Freehold_Apartment,0,Medium_Volume
Green Acre,Bandar Sungai Long,Selangor,Freehold,Condominium,550000.0,543.0,32,16666.666666666668,1,High,1,0,13.217675375388819,6.298949246855942,Low,Tier 1: High-Cost State,2,1012.8913443830571,Freehold_Condominium,0,Medium_Volume
Sri Akasia,Tampoi,Johor,Leasehold,Apartment,380000.0,357.0,32,11515.151515151516,1,Medium,0,0,12.847929163278053,5.8805329864007,Medium,Tier 1: High-Cost State,2,1064.4257703081232,Leasehold_Apartment,0,Medium_Volume
TAMAN SCIENTEX (BUKIT TAMBUN PERDANA),Durian Tunggal,Melaka,Freehold,Terrace House,267000.0,226.0,31,8343.75,1,Low,1,0,12.495007682693725,5.424950017481403,Low,Tier 3: Low-Cost State,2,1181.41592920354,Freehold_Terrace House,0,Medium_Volume
TAMAN LAHAT SENTOSA (MOSEY HILL),Ipoh,Perak,Leasehold,Terrace House,399880.0,207.0,31,12496.25,1,Low,0,0,12.898922281828215,5.337538079701318,High,Tier 3: Low-Cost State,2,1931.7874396135267,Leasehold_Terrace House,0,Medium_Volume
TAMAN BIDOR BISTARI,Bidor,Perak,Leasehold,Terrace House,185000.0,132.0,31,5781.25,1,Low,0,0,12.128116509451258,4.890349128221754,Medium,Tier 3: Low-Cost State,2,1401.5151515151515,Leasehold_Terrace House,0,Medium_Volume
TAMAN ASTANA CHEMOR,Ipoh,Perak,Leasehold,Terrace House,90000.0,102.0,31,2812.5,1,Low,0,0,11.407576060361786,4.634728988229636,High,Tier 3: Low-Cost State,2,882.3529411764706,Leasehold_Terrace House,0,Medium_Volume
TAMAN MERU PERDANA,Ipoh,Perak,Freehold,Terrace House,406700.0,305.0,31,12709.375,1,Medium,1,0,12.915833550707145,5.723585101952381,High,Tier 3: Low-Cost State,2,1333.4426229508197,Freehold_Terrace House,0,Medium_Volume
PUNCAK ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,343040.0,245.0,31,10720.0,1,Medium,0,0,12.745605252532211,5.5053315359323625,Medium,Tier 3: Low-Cost State,2,1400.1632653061224,Leasehold_Terrace House,0,Medium_Volume
TAMAN TOK MUDA,Kapar,Selangor,Freehold,Terrace House,397000.0,300.0,31,12406.25,1,Medium,1,0,12.891694078557842,5.707110264748875,High,Tier 1: High-Cost State,2,1323.3333333333333,Freehold_Terrace House,0,Medium_Volume
TAMAN MUTIARA PERDANA,Batu Pahat,Johor,Freehold,"Terrace House, Semi D",573000.0,206.0,31,17906.25,1,Low,1,0,13.258642740896052,5.332718793265369,High,Tier 1: High-Cost State,2,2781.5533980582522,"Freehold_Terrace House, Semi D",0,Medium_Volume
TAMAN SRI ORKID,Skudai,Johor,Leasehold,Terrace House,618000.0,440.0,31,19312.5,1,High,0,0,13.334245354561496,6.089044875446846,High,Tier 1: High-Cost State,2,1404.5454545454545,Leasehold_Terrace House,0,Medium_Volume
ULU SUNGAI MERAH,Sibu,Sarawak,Leasehold,Terrace House,430000.0,173.0,31,13437.5,1,Low,0,0,12.971542813248437,5.159055299214529,Low,Tier 2: Medium-Cost State,2,2485.549132947977,Leasehold_Terrace House,0,Medium_Volume
TAMAN PERTAMA,Ipoh,Perak,Leasehold,"Semi D, Terrace House",280000.0,174.0,31,8750.0,1,Low,0,0,12.54254845357358,5.1647859739235145,High,Tier 3: Low-Cost State,2,1609.1954022988505,"Leasehold_Semi D, Terrace House",0,Medium_Volume
TAMAN IRINGAN BAYU,Rantau,Negeri Sembilan,Freehold,"Terrace House, Semi D",472910.0,331.0,31,14778.4375,1,Medium,1,0,13.066662489093096,5.805134968916488,Medium,Tier 2: Medium-Cost State,2,1428.7311178247735,"Freehold_Terrace House, Semi D",0,Medium_Volume
TAMAN SRI RAMBAI,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",400000.0,179.0,31,12500.0,1,Low,1,0,12.899222326086994,5.19295685089021,Medium,Tier 2: Medium-Cost State,2,2234.63687150838,"Freehold_Terrace House, Semi D",0,Medium_Volume
TAMAN CHERAS PERDANA,Cheras,Selangor,Freehold,Terrace House,445000.0,361.0,31,13906.25,1,Medium,1,0,13.005831808336863,5.8916442118257715,High,Tier 1: High-Cost State,2,1232.6869806094182,Freehold_Terrace House,0,Medium_Volume
SENIBONG COVE,Permas Jaya,Johor,Freehold,"Semi D, Terrace House",1680000.0,557.0,31,52500.0,1,High,1,0,14.33430494661736,6.324358962381311,Medium,Tier 1: High-Cost State,2,3016.157989228007,"Freehold_Semi D, Terrace House",0,Medium_Volume
BANDAR SIBU JAYA,Sibu,Sarawak,Leasehold,Terrace House,200000.0,130.0,31,6250.0,1,Low,0,0,12.206077645517674,4.875197323201151,Low,Tier 2: Medium-Cost State,2,1538.4615384615386,Leasehold_Terrace House,0,Medium_Volume
Residensi 22,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2200000.0,1074.0,31,68750.0,1,High,1,0,14.603968372873895,6.980075940561763,Medium,Tier 1: High-Cost State,2,2048.417132216015,Freehold_Condominium,1,Medium_Volume
Flat Taman Perling,Perling,Johor,Freehold,Flat,150000.0,273.0,31,4687.5,1,Medium,1,0,11.918397239722838,5.6131281063880705,Medium,Tier 1: High-Cost State,2,549.4505494505495,Freehold_Flat,0,Medium_Volume
ARC @ Austin Hills,Johor Bahru,Johor,Freehold,Service Residence,360000.0,506.0,31,11250.0,1,High,1,0,12.793862088206213,6.2285110035911835,High,Tier 1: High-Cost State,2,711.4624505928854,Freehold_Service Residence,0,Medium_Volume
TAMAN KLUANG BARAT,Kluang,Johor,Freehold,"Terrace House, Semi D",176500.0,215.0,30,5693.548387096775,1,Low,1,0,12.081081821061819,5.375278407684165,High,Tier 1: High-Cost State,2,820.9302325581396,"Freehold_Terrace House, Semi D",0,Medium_Volume
TAMAN RIA MESRA 2,Gurun,Kedah,Freehold,"Terrace House, Semi D",210000.0,136.0,30,6774.193548387097,1,Low,1,0,12.25486757159303,4.919980925828125,Low,Tier 3: Low-Cost State,2,1544.1176470588234,"Freehold_Terrace House, Semi D",0,Medium_Volume
SS22 & SS22A DAMANSARA JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,1565000.0,656.0,30,50483.87096774193,1,High,1,0,14.263397020933823,6.48768401848461,Medium,Tier 1: High-Cost State,2,2385.670731707317,Freehold_Terrace House,0,Medium_Volume
TAMAN SERI ANDALAS,Klang,Selangor,Leasehold,"Semi D, Terrace House",475000.0,287.0,30,15322.58064516129,1,Medium,0,0,13.07107218827772,5.662960480135946,High,Tier 1: High-Cost State,2,1655.0522648083625,"Leasehold_Semi D, Terrace House",0,Medium_Volume
TAMAN RAIA PERMAI,Simpang Pulai,Perak,Leasehold,Terrace House,85000.0,65.0,30,2741.935483870968,1,Low,0,0,11.350418300109132,4.189654742026425,Low,Tier 3: Low-Cost State,2,1307.6923076923076,Leasehold_Terrace House,0,Medium_Volume
TAMAN CASSIA,Alor Setar,Kedah,Freehold,Semi D,300000.0,117.0,30,9677.41935483871,1,Low,1,0,12.611541086966115,4.770684624465665,Low,Tier 3: Low-Cost State,2,2564.102564102564,Freehold_Semi D,0,Medium_Volume
BANDAR SELESA JAYA,Skudai,Johor,Freehold,Terrace House,462500.0,323.0,30,14919.354838709678,1,Medium,1,0,13.044403998094442,5.780743515792329,High,Tier 1: High-Cost State,2,1431.8885448916408,Freehold_Terrace House,0,Medium_Volume
BANDAR PARKLANDS,Klang,Selangor,Freehold,Terrace House,879000.0,430.0,30,28354.83870967742,1,High,1,0,13.686541314323094,6.066108090103747,High,Tier 1: High-Cost State,2,2044.1860465116279,Freehold_Terrace House,0,Medium_Volume
TAMAN IPOH,Ipoh,Perak,Freehold,Terrace House,347500.0,196.0,30,11209.677419354839,1,Low,1,0,12.758522821680685,5.2832037287379885,High,Tier 3: Low-Cost State,2,1772.9591836734694,Freehold_Terrace House,0,Medium_Volume
TAMAN MALIM JAYA,Bachang,Melaka,Leasehold,Terrace House,296500.0,243.0,30,9564.516129032258,1,Medium,0,0,12.599805870095512,5.497168225293202,Low,Tier 3: Low-Cost State,2,1220.164609053498,Leasehold_Terrace House,0,Medium_Volume
TAMAN POKOK MANGGA,Balai Panjang,Melaka,"Freehold, Leasehold",Terrace House,325000.0,201.0,30,10483.870967741936,1,Low,1,0,12.691583538230217,5.308267697401205,Low,Tier 3: Low-Cost State,2,1616.915422885572,"Freehold, Leasehold_Terrace House",0,Medium_Volume
TAMAN KEMPAS INDAH,Tebrau,Johor,Freehold,"Cluster House, Terrace House",644000.0,333.0,30,20774.1935483871,1,Medium,1,0,13.375455557880317,5.811140992976701,High,Tier 1: High-Cost State,2,1933.933933933934,"Freehold_Cluster House, Terrace House",0,Medium_Volume
TAMAN PANDAN PERDANA,Ampang,Selangor,Leasehold,Terrace House,722500.0,484.0,30,23306.451612903227,1,High,0,0,13.490474083050811,6.184148890937483,Medium,Tier 1: High-Cost State,2,1492.7685950413222,Leasehold_Terrace House,0,Medium_Volume
TAMAN GAMBANG DAMAI / DESA HIJAUAN,Hulu Lepar,Pahang,Leasehold,Terrace House,181500.0,141.0,30,5854.8387096774195,1,Low,0,0,12.109016442313738,4.955827057601261,Low,Tier 3: Low-Cost State,2,1287.2340425531916,Leasehold_Terrace House,0,Medium_Volume
TAMAN SAUJANA UTAMA,Saujana Utama,Selangor,Leasehold,Terrace House,497500.0,282.0,30,16048.387096774193,1,Medium,0,0,13.117352845629016,5.645446897643238,Low,Tier 1: High-Cost State,2,1764.1843971631206,Leasehold_Terrace House,0,Medium_Volume
BUKIT ANAK DARA,Kijal,Terengganu,Freehold,Terrace House,274850.0,177.0,30,8866.129032258064,1,Low,1,0,12.523984411630378,5.181783550292085,Low,Tier 2: Medium-Cost State,2,1552.8248587570622,Freehold_Terrace House,0,Medium_Volume
Endah Regal Condominium,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,550000.0,482.0,30,17741.935483870966,1,High,0,0,13.217675375388819,6.180016653652572,Low,Tier 1: High-Cost State,2,1141.0788381742739,Leasehold_Condominium,1,Medium_Volume
The Astaka @ 1 Bukit Senyum,Johor Bahru,Johor,Freehold,Service Residence,2386358.0,1055.0,30,76979.29032258065,1,High,1,0,14.685279331344507,6.962243464266207,High,Tier 1: High-Cost State,2,2261.950710900474,Freehold_Service Residence,0,Medium_Volume
The Z Residence,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,628000.0,493.0,30,20258.064516129034,1,High,1,0,13.350297037805756,6.202535517187923,Low,Tier 1: High-Cost State,2,1273.8336713995943,Freehold_Condominium,1,Medium_Volume
Sri Saujana,Georgetown,Penang,Leasehold,Apartment,260000.0,402.0,30,8387.09677419355,1,High,0,1,12.468440756144114,5.998936561946683,Low,Tier 2: Medium-Cost State,2,646.7661691542288,Leasehold_Apartment,0,Medium_Volume
TAMAN JUASSEH SENTOSA FASA 2,Juasseh,Negeri Sembilan,Freehold,Terrace House,249800.0,158.0,29,8326.666666666666,1,Low,1,0,12.428419879868164,5.0689042022202315,Low,Tier 2: Medium-Cost State,2,1581.012658227848,Freehold_Terrace House,0,Medium_Volume
"TAMAN MELATI INDAH, PUNDUT",Lumut,Perak,Freehold,Terrace House,420000.0,270.0,29,14000.0,1,Medium,1,0,12.948012371209098,5.602118820879701,Low,Tier 3: Low-Cost State,2,1555.5555555555557,Freehold_Terrace House,0,Medium_Volume
PANORAMA LAPANGAN MUTIARA,Ipoh,Perak,Leasehold,Terrace House,435000.0,306.0,29,14500.0,1,Medium,0,0,12.983103608918753,5.726847747587197,High,Tier 3: Low-Cost State,2,1421.5686274509803,Leasehold_Terrace House,0,Medium_Volume
TAMAN ALAMANDA (KEDIAMAN),Bahau,Negeri Sembilan,Leasehold,Terrace House,239999.0,184.0,29,7999.966666666666,1,Low,0,0,12.388394202324129,5.220355825078324,Low,Tier 2: Medium-Cost State,2,1304.3423913043478,Leasehold_Terrace House,0,Medium_Volume
TAMAN SUNGAI RAMBAI MESRA,Sungai Rambai,Melaka,Freehold,Cluster House,367000.0,136.0,29,12233.333333333334,1,Low,1,0,12.813119851828635,4.919980925828125,Low,Tier 3: Low-Cost State,2,2698.529411764706,Freehold_Cluster House,0,Medium_Volume
TAMAN MELODIES,Johor Bahru,Johor,Freehold,"Semi D, Bungalow",980000.0,275.0,29,32666.666666666668,1,Medium,1,0,13.795308871054397,5.62040086571715,High,Tier 1: High-Cost State,2,3563.6363636363635,"Freehold_Semi D, Bungalow",0,Medium_Volume
TAMAN INTAN,Kluang,Johor,Freehold,Terrace House,220000.0,188.0,29,7333.333333333333,1,Low,1,0,12.301387370778713,5.241747015059643,High,Tier 1: High-Cost State,2,1170.212765957447,Freehold_Terrace House,0,Medium_Volume
TAMAN DESA SAUJANA,Arau,Perlis,Freehold,"Semi D, Terrace House",414428.0,205.0,29,13814.266666666666,1,Low,1,0,12.934656948173856,5.327876168789581,Low,Tier 1: High-Cost State,2,2021.6,"Freehold_Semi D, Terrace House",0,Medium_Volume
TAMAN PERDA INDAH,Tasek Gelugor,Penang,Freehold,Terrace House,343800.0,157.0,29,11460.0,1,Low,1,0,12.747818280594485,5.062595033026967,High,Tier 2: Medium-Cost State,2,2189.808917197452,Freehold_Terrace House,0,Medium_Volume
JADE HILLS,Kajang,Selangor,Freehold,"Semi D, Cluster House, Bungalow",2330000.0,495.0,29,77666.66666666667,1,High,1,0,14.66137925472634,6.206575926724928,Medium,Tier 1: High-Cost State,2,4707.070707070707,"Freehold_Semi D, Cluster House, Bungalow",0,Medium_Volume
ISLAND GLADES,Jelutong,Penang,Freehold,Terrace House,1000000.0,632.0,29,33333.333333333336,1,High,1,0,13.815511557963774,6.450470422144176,Medium,Tier 2: Medium-Cost State,2,1582.2784810126582,Freehold_Terrace House,0,Medium_Volume
Seksyen 1 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,220000.0,414.0,29,7333.333333333333,1,High,0,0,12.301387370778713,6.028278520230698,Medium,Tier 1: High-Cost State,2,531.4009661835748,Leasehold_Flat,1,Medium_Volume
Taman Pelangi,Perai,Penang,Leasehold,Flat,100000.0,168.0,29,3333.3333333333335,1,Low,0,0,11.51293546492023,5.1298987149230735,Medium,Tier 2: Medium-Cost State,2,595.2380952380952,Leasehold_Flat,0,Medium_Volume
Twin Galaxy (Dwi Galaksi),Johor Bahru,Johor,Freehold,Service Residence,586000.0,641.0,29,19533.333333333332,1,High,1,0,13.281076775042335,6.464588303689961,High,Tier 1: High-Cost State,2,914.1965678627145,Freehold_Service Residence,0,Medium_Volume
TAMAN RIMBAYU,Tanjong Duabelas,Selangor,Leasehold,Terrace House,760000.0,500.0,28,26206.896551724138,1,High,0,0,13.541075028051122,6.2166061010848646,Medium,Tier 1: High-Cost State,2,1520.0,Leasehold_Terrace House,0,Medium_Volume
